A1,A2,A3,  th0      , cth
C  ,CT  ,CX   ,111.100,527.184
C  ,CX  ,CT   ,111.100,527.184
C  ,CT  ,OS   ,109.500,502.080
CA ,CT  ,HC   ,109.500,418.400
CC ,CT  ,CT   ,113.100,527.184
CC ,CT  ,CX   ,113.100,527.184
CC ,CT  ,HC   ,109.500,418.400
CM ,CT  ,CT   ,111.000,527.184
CM ,CT  ,OS   ,109.500,418.400
CS ,CT  ,CT   ,111.000,527.184
CS ,CT  ,OS   ,109.500,418.400
CT ,CT  ,CT   ,109.500,334.720
CT ,CT  ,CX   ,109.500,334.720
CT ,CT  ,HC   ,109.500,418.400
CX ,CT  ,HC   ,109.500,418.400
CT ,CT  ,H1   ,109.500,418.400
CT ,CX  ,H1   ,109.500,418.400
CX ,CT  ,H1   ,109.500,418.400
CT ,CT  ,H2   ,109.500,418.400
CT ,CT  ,HP   ,109.500,418.400
CT ,CX  ,HP   ,109.500,418.400
CT ,CT  ,N*   ,109.500,418.400
CT ,CT  ,OH   ,109.500,418.400
CX ,CT  ,OH   ,109.500,418.400
CT ,CT  ,OS   ,109.500,418.400
CT ,CT  ,S    ,114.700,418.400
CX ,CT  ,S    ,114.700,418.400
CT ,CT  ,SH   ,108.600,418.400
CX ,CT  ,SH   ,108.600,418.400
CT ,CT  ,CA   ,114.000,527.184
CX ,CT  ,CA   ,114.000,527.184
CT ,CT  ,N2   ,111.200,669.440
CT ,CT  ,N    ,109.700,669.440
CT ,CX  ,N    ,109.700,669.440
CT ,CT  ,N3   ,111.200,669.440
CT ,CX  ,N3   ,111.200,669.440
CT ,CT  ,NT   ,111.200,669.440
CT ,CT  ,CY   ,110.000,527.184
CT ,CT  ,CZ   ,110.000,527.184
C* ,CT  ,CT   ,115.600,527.184
C* ,CT  ,CX   ,115.600,527.184
C* ,CT  ,HC   ,109.500,418.400
OS ,CT  ,OS   ,101.000,1338.880
OS ,CT  ,CY   ,110.000,418.400
OS ,CT  ,CZ   ,110.000,418.400
OS ,CT  ,N*   ,109.500,418.400
F  ,CT  ,F    ,109.100,644.336
F  ,CT  ,H1   ,109.500,418.400
F  ,CT  ,CT   ,109.000,418.400
F  ,CT  ,H2   ,109.500,418.400
Cl ,CT  ,CT   ,108.500,418.400
Cl ,CT  ,H1   ,108.500,418.400
Br ,CT  ,CT   ,108.000,418.400
Br ,CT  ,H1   ,106.500,418.400
I  ,CT  ,CT   ,106.000,418.400
CT ,CC  ,NA   ,120.000,585.760
CT ,CC  ,CV   ,120.000,585.760
CT ,CC  ,NB   ,120.000,585.760
CV ,CC  ,NA   ,120.000,585.760
CW ,CC  ,NA   ,120.000,585.760
CW ,CC  ,NB   ,120.000,585.760
CT ,CC  ,CW   ,120.000,585.760
H5 ,CR  ,NA   ,120.000,418.400
H5 ,CR  ,NB   ,120.000,418.400
NA ,CR  ,NA   ,120.000,585.760
NA ,CR  ,NB   ,120.000,585.760
CC ,CV  ,H4   ,120.000,418.400
CC ,CV  ,NB   ,120.000,585.760
H4 ,CV  ,NB   ,120.000,418.400
CC ,CW  ,H4   ,120.000,418.400
CC ,CW  ,NA   ,120.000,585.760
C* ,CW  ,H4   ,120.000,418.400
C* ,CW  ,NA   ,108.700,585.760
H4 ,CW  ,NA   ,120.000,418.400
CB ,C*  ,CT   ,128.600,585.760
CB ,C*  ,CW   ,106.400,527.184
CT ,C*  ,CW   ,125.000,585.760
CA ,CN  ,CB   ,122.700,527.184
CA ,CN  ,NA   ,132.800,585.760
CB ,CN  ,NA   ,104.400,585.760
CT ,CY  ,NY   ,180.000,669.440
CT ,CZ  ,CZ   ,180.000,669.440
CZ ,CZ  ,HZ   ,180.000,418.400
C  ,N   ,CT   ,121.900,418.400
C  ,N   ,CX   ,121.900,418.400
C  ,N   ,H    ,120.000,418.400
CT ,N   ,H    ,118.040,418.400
CX ,N   ,H    ,118.040,418.400
CT ,N   ,CT   ,118.000,418.400
CT ,N   ,CX   ,118.000,418.400
H  ,N   ,H    ,120.000,292.880
C  ,N*  ,CM   ,121.600,585.760
C  ,N*  ,CS   ,121.600,585.760
C  ,N*  ,CT   ,117.600,585.760
C  ,N*  ,H    ,119.200,418.400
CB ,N*  ,CK   ,105.400,585.760
CB ,N*  ,CP   ,105.400,585.760
CB ,N*  ,CT   ,125.800,585.760
CB ,N*  ,H    ,125.800,418.400
CK ,N*  ,CT   ,128.800,585.760
CK ,N*  ,H    ,128.800,418.400
CP ,N*  ,CT   ,128.800,585.760
CP ,N*  ,H    ,128.800,418.400
CM ,N*  ,CT   ,121.200,585.760
CM ,N*  ,H    ,121.200,418.400
CS ,N*  ,CT   ,121.200,585.760
CS ,N*  ,H    ,121.200,418.400
CA ,N2  ,H    ,120.000,418.400
CA ,N2  ,CT   ,123.200,418.400
CT ,N2  ,H    ,118.400,418.400
H  ,N2  ,H    ,120.000,292.880
CT ,N3  ,H    ,109.500,418.400
CX ,N3  ,H    ,109.500,418.400
CT ,N3  ,CT   ,109.500,418.400
CT ,N3  ,CX   ,109.500,418.400
H  ,N3  ,H    ,109.500,292.880
CT ,NT  ,H    ,109.500,418.400
CT ,NT  ,CT   ,109.500,418.400
H  ,NT  ,H    ,109.500,292.880
C  ,NA  ,C    ,126.400,585.760
C  ,NA  ,CA   ,125.200,585.760
C  ,NA  ,H    ,116.800,418.400
CA ,NA  ,H    ,118.000,418.400
CC ,NA  ,CR   ,120.000,585.760
CC ,NA  ,H    ,120.000,418.400
CR ,NA  ,CW   ,120.000,585.760
CR ,NA  ,H    ,120.000,418.400
CW ,NA  ,H    ,120.000,418.400
CN ,NA  ,CW   ,111.600,585.760
CN ,NA  ,H    ,123.100,418.400
CB ,NB  ,CK   ,103.800,585.760
CB ,NB  ,CP   ,103.800,585.760
CC ,NB  ,CR   ,117.000,585.760
CR ,NB  ,CV   ,117.000,585.760
C  ,NC  ,CA   ,120.500,585.760
CA ,NC  ,CB   ,112.200,585.760
CA ,NC  ,CQ   ,118.600,585.760
CB ,NC  ,CQ   ,111.000,585.760
C  ,OH  ,HO   ,113.000,418.400
CA ,OH  ,HO   ,113.000,418.400
CT ,OH  ,HO   ,108.500,460.240
HO ,OH  ,P    ,108.500,376.560
C  ,OS  ,CT   ,117.000,502.080
CM ,OS  ,CT   ,117.000,502.080
CS ,OS  ,CT   ,117.000,502.080
CT ,OS  ,CT   ,109.500,502.080
CT ,OS  ,P    ,120.500,836.800
C  ,OS  ,P    ,120.500,836.800
P  ,OS  ,P    ,120.500,836.800
O2 ,P   ,OH   ,108.230,376.560
O2 ,P   ,O2   ,119.900,1171.520
OP ,P   ,OP   ,119.900,1171.520
OP ,P   ,OS   ,108.230,836.800
O2 ,P   ,OS   ,108.230,836.800
OH ,P   ,OS   ,102.600,376.560
OS ,P   ,OS   ,102.600,376.560
CT ,S   ,CT   ,98.900,518.816
CT ,S   ,S    ,103.700,569.024
CT ,SH  ,HS   ,96.000,359.824
HS ,SH  ,HS   ,92.070,292.880
CB ,NB  ,EP   ,126.000,1255.200
CC ,NB  ,EP   ,126.000,1255.200
CK ,NB  ,EP   ,126.000,1255.200
CP ,NB  ,EP   ,126.000,1255.200
CR ,NB  ,EP   ,126.000,1255.200
CV ,NB  ,EP   ,126.000,1255.200
C  ,NC  ,EP   ,120.000,1255.200
CA ,NC  ,EP   ,120.000,1255.200
CB ,NC  ,EP   ,120.000,1255.200
CQ ,NC  ,EP   ,120.000,1255.200
CT ,N3  ,EP   ,109.500,1255.200
H  ,N3  ,EP   ,109.500,1255.200
CT ,NT  ,EP   ,109.500,1255.200
H  ,NT  ,EP   ,109.500,1255.200
C  ,O   ,EP   ,120.000,1255.200
EP ,O   ,EP   ,120.000,1255.200
C  ,OH  ,EP   ,120.000,1255.200
CT ,OH  ,EP   ,109.500,1255.200
HO ,OH  ,EP   ,109.500,1255.200
EP ,OH  ,EP   ,109.500,1255.200
C  ,OS  ,EP   ,109.500,1255.200
CM ,OS  ,EP   ,109.500,1255.200
CS ,OS  ,EP   ,109.500,1255.200
CT ,OS  ,EP   ,109.500,1255.200
EP ,OS  ,EP   ,109.500,1255.200
CT ,S   ,EP   ,90.000,1255.200
CT ,SH  ,EP   ,90.000,1255.200
P  ,OS  ,EP   ,109.500,1255.200
EP ,S   ,EP   ,180.000,1255.200
EP ,SH  ,EP   ,180.000,1255.200
HS ,SH  ,EP   ,90.000,1255.200
H1 ,CI  ,CT   ,109.500,418.400
H1 ,CI  ,H1   ,109.500,292.880
CI ,CT  ,H1   ,109.500,418.400
CI ,CT  ,OS   ,109.500,418.400
CI ,CT  ,CT   ,109.500,334.720
OS ,CI  ,H1   ,109.500,418.400
OS ,CI  ,CT   ,109.500,418.400
P  ,OS  ,CI   ,120.500,836.800
OH ,CI  ,H1   ,109.500,418.400
OH ,CI  ,CT   ,109.500,418.400
HO ,OH  ,CI   ,108.500,460.240
H5 ,C5  ,N*   ,123.050,418.400
H5 ,C5  ,NB   ,123.050,418.400
N* ,C5  ,NB   ,113.900,585.760
CB ,N*  ,C5   ,105.400,585.760
C5 ,N*  ,CT   ,128.800,585.760
CB ,NB  ,C5   ,103.800,585.760
C4 ,C   ,NA   ,114.100,585.760
C4 ,C   ,O    ,125.300,669.440
C4 ,CA  ,N2   ,120.100,585.760
C4 ,CA  ,NC   ,121.500,585.760
C  ,C4  ,C4   ,120.700,527.184
C  ,C4  ,CT   ,119.700,585.760
C  ,C4  ,HA   ,119.700,418.400
C  ,C4  ,H4   ,119.700,418.400
CA ,C4  ,C4   ,117.000,527.184
CA ,C4  ,HA   ,123.300,418.400
CA ,C4  ,H4   ,123.300,418.400
C4 ,C4  ,CT   ,119.700,585.760
C4 ,C4  ,HA   ,119.700,418.400
C4 ,C4  ,H4   ,119.700,418.400
C4 ,C4  ,N*   ,121.200,585.760
H4 ,C4  ,N*   ,119.100,418.400
H1 ,CT  ,C4   ,109.500,418.400
HC ,CT  ,C4   ,109.500,418.400
C  ,N*  ,C4   ,121.600,585.760
C4 ,N*  ,CT   ,121.200,585.760
EP ,S   ,S    ,96.700,1255.200
N  ,C   ,2C   ,116.600,585.760
O  ,C   ,2C   ,120.400,669.440
OH ,C   ,2C   ,110.000,669.440
CB ,C*  ,2C   ,128.600,585.760
CW ,C*  ,2C   ,125.000,585.760
C8 ,C8  ,C8   ,109.500,334.720
C8 ,C8  ,CX   ,109.500,334.720
C8 ,C8  ,H1   ,109.500,418.400
C8 ,C8  ,HC   ,109.500,418.400
C8 ,C8  ,HP   ,109.500,418.400
C8 ,C8  ,N2   ,111.200,669.440
C8 ,C8  ,N3   ,111.200,669.440
CX ,C8  ,HC   ,109.500,418.400
H1 ,C8  ,H1   ,109.500,292.880
H1 ,C8  ,N2   ,109.500,418.400
HC ,C8  ,HC   ,109.500,292.880
HP ,C8  ,HP   ,109.500,292.880
HP ,C8  ,N3   ,109.500,418.400
CA ,CA  ,2C   ,120.000,585.760
CV ,CC  ,2C   ,120.000,585.760
CW ,CC  ,2C   ,120.000,585.760
NA ,CC  ,2C   ,120.000,585.760
NB ,CC  ,2C   ,120.000,585.760
O2 ,CO  ,O2   ,126.000,669.440
O2 ,CO  ,2C   ,117.000,585.760
HC ,CT  ,2C   ,109.500,418.400
HC ,CT  ,3C   ,109.500,418.400
C  ,CX  ,C8   ,111.100,527.184
C  ,CX  ,2C   ,111.100,527.184
C  ,CX  ,3C   ,111.100,527.184
C8 ,CX  ,H1   ,109.500,418.400
C8 ,CX  ,N    ,109.700,669.440
C8 ,CX  ,N3   ,111.200,669.440
H1 ,CX  ,2C   ,109.500,418.400
H1 ,CX  ,3C   ,109.500,418.400
HP ,CX  ,C8   ,109.500,418.400
HP ,CX  ,2C   ,109.500,418.400
HP ,CX  ,3C   ,109.500,418.400
N  ,CX  ,2C   ,109.700,669.440
N  ,CX  ,3C   ,109.700,669.440
N3 ,CX  ,2C   ,111.200,669.440
N3 ,CX  ,3C   ,111.200,669.440
C8 ,N2  ,CA   ,123.200,418.400
C8 ,N2  ,H    ,118.400,418.400
C8 ,N3  ,H    ,109.500,418.400
HO ,OH  ,2C   ,108.500,460.240
HO ,OH  ,3C   ,108.500,460.240
CT ,S   ,2C   ,98.900,518.816
2C ,S   ,S    ,103.700,569.024
HS ,SH  ,2C   ,96.000,359.824
C  ,2C  ,CX   ,111.100,527.184
C  ,2C  ,HC   ,109.500,418.400
C  ,2C  ,2C   ,111.100,527.184
C* ,2C  ,CX   ,115.600,527.184
C* ,2C  ,HC   ,109.500,418.400
CA ,2C  ,CX   ,114.000,527.184
CA ,2C  ,HC   ,109.500,418.400
CC ,2C  ,CX   ,113.100,527.184
CC ,2C  ,HC   ,109.500,418.400
CO ,2C  ,CX   ,111.100,527.184
CO ,2C  ,HC   ,109.500,418.400
CO ,2C  ,2C   ,111.100,527.184
CT ,2C  ,HC   ,109.500,418.400
CT ,2C  ,3C   ,109.500,334.720
CX ,2C  ,H1   ,109.500,418.400
CX ,2C  ,HC   ,109.500,418.400
CX ,2C  ,OH   ,109.500,418.400
CX ,2C  ,S    ,114.700,418.400
CX ,2C  ,SH   ,108.600,418.400
CX ,2C  ,2C   ,109.500,334.720
CX ,2C  ,3C   ,109.500,334.720
H1 ,2C  ,H1   ,109.500,292.880
H1 ,2C  ,OH   ,109.500,418.400
H1 ,2C  ,S    ,109.500,418.400
H1 ,2C  ,SH   ,109.500,418.400
H1 ,2C  ,2C   ,109.500,418.400
HC ,2C  ,HC   ,109.500,292.880
HC ,2C  ,2C   ,109.500,418.400
HC ,2C  ,3C   ,109.500,418.400
S  ,2C  ,2C   ,114.700,418.400
CT ,3C  ,CT   ,109.500,334.720
CT ,3C  ,CX   ,109.500,334.720
CT ,3C  ,H1   ,109.500,418.400
CT ,3C  ,HC   ,109.500,418.400
CT ,3C  ,OH   ,109.500,418.400
CT ,3C  ,2C   ,109.500,334.720
CX ,3C  ,H1   ,109.500,418.400
CX ,3C  ,HC   ,109.500,418.400
CX ,3C  ,OH   ,109.500,418.400
CX ,3C  ,2C   ,109.500,334.720
H1 ,3C  ,OH   ,109.500,418.400
HC ,3C  ,2C   ,109.500,418.400
CT ,CE  ,CT   ,109.500,334.720
H1 ,CE  ,CT   ,109.500,418.400
H1 ,CE  ,OS   ,109.500,418.400
H1 ,CT  ,CE   ,109.500,418.400
CI ,CT  ,CE   ,109.500,334.720
CE ,CT  ,OS   ,109.500,418.400
CE ,CT  ,H1   ,109.500,418.400
CE ,CT  ,CT   ,109.500,334.720
CE ,CT  ,HC   ,109.500,418.400
OS ,CE  ,H1   ,109.500,418.400
OS ,CE  ,CT   ,109.500,418.400
P  ,OS  ,CE   ,120.500,836.800
H1 ,CE  ,OH   ,109.500,418.400
CE ,OH  ,HO   ,108.500,460.240
CT ,CE  ,OH   ,109.500,418.400
H5 ,C1  ,N*   ,123.050,418.400
H5 ,C1  ,NB   ,123.050,418.400
N* ,C1  ,NB   ,113.900,585.760
CB ,N*  ,C1   ,105.400,585.760
C1 ,N*  ,CT   ,128.800,585.760
CB ,NB  ,C1   ,103.800,585.760
C2 ,C   ,NA   ,114.100,585.760
C2 ,C   ,O    ,125.300,669.440
HC ,CT  ,C2   ,109.500,418.400
C  ,N*  ,C2   ,121.600,585.760
C2 ,N*  ,CT   ,121.200,585.760
C  ,C2  ,C2   ,120.700,527.184
C2 ,C2  ,CT   ,119.700,585.760
C2 ,C2  ,HA   ,119.700,418.400
C2 ,C2  ,H4   ,119.700,418.400
C2 ,C2  ,N*   ,121.200,585.760
C  ,C2  ,CT   ,119.700,585.760
C  ,C2  ,HA   ,119.700,418.400
H4 ,C2  ,N*   ,119.100,418.400
