A1,A2,A3,A4,div,phase,kd,pn
 CT , 2C ,3C ,HC   ,9,0.0,0.66944,3
 P  , OS ,CE ,CT   ,9,151.6,0.22943,3
 P  , OS ,CE ,CT   ,9,200.6,1.33477,2
 P  , OS ,CE ,CT   ,9,297.8,4.51844,1
 OS , P  ,OS ,CE   ,9,295.5,3.33525,3
 OS , P  ,OS ,CE   ,9,5.5,2.27861,2
 OS , P  ,OS ,CE   ,9,65.9,1.34666,1
 OS , P  ,OS ,CT   ,9,0.0,1.04600,3
 OS , P  ,OS ,CT   ,9,0.0,5.02080,2
 OS , P  ,OS ,CI   ,9,357.2,1.48473,3
 OS , P  ,OS ,CI   ,9,352.0,5.25733,2
 OS , P  ,OS ,CI   ,9,31.8,0.77480,1
 OS , CT ,N* ,CS   ,9,16.0,1.47059,4
 OS , CT ,N* ,CS   ,9,179.3,2.43300,3
 OS , CT ,N* ,CS   ,9,16.8,7.31681,2
 OS , CT ,N* ,CS   ,9,149.9,4.28919,1
 OS , CT ,N* ,CP   ,9,4.0,1.07119,4
 OS , CT ,N* ,CP   ,9,168.7,1.85238,3
 OS , CT ,N* ,CP   ,9,6.2,4.45788,2
 OS , CT ,N* ,CP   ,9,74.8,2.95014,1
 OS , CT ,N* ,CM   ,9,209.6,1.08784,3
 OS , CT ,N* ,CM   ,9,7.8,6.35968,2
 OS , CT ,N* ,CM   ,9,184.8,4.30952,1
 OS , CT ,N* ,CK   ,9,219.8,1.84096,3
 OS , CT ,N* ,CK   ,9,4.0,7.23832,2
 OS , CT ,N* ,CK   ,9,87.5,3.38904,1
 OS , CT ,N* ,C2   ,9,210.9,0.71128,3
 OS , CT ,N* ,C2   ,9,4.7,6.98728,2
 OS , CT ,N* ,C2   ,9,188.0,4.14216,1
 OS , CT ,N* ,C1   ,9,225.4,1.71544,3
 OS , CT ,N* ,C1   ,9,0.7,7.99144,2
 OS , CT ,N* ,C1   ,9,120.1,3.80744,1
 OS , CE ,CT ,OS   ,9,0.0,0.60250,3
 OS , CE ,CT ,OS   ,9,0.0,4.91620,2
 OS , CT ,N* ,C5   ,9,19.1,1.29357,4
 OS , CT ,N* ,C5   ,9,171.6,1.91435,3
 OS , CT ,N* ,C5   ,9,15.6,4.49374,2
 OS , CT ,N* ,C5   ,9,68.8,4.04011,1
 OS , CT ,N* ,C4   ,9,32.2,1.29842,4
 OS , CT ,N* ,C4   ,9,185.9,3.92237,3
 OS , CT ,N* ,C4   ,9,16.5,6.83912,2
 OS , CT ,N* ,C4   ,9,147.0,5.12565,1
 OS , CT ,CT ,OS   ,9,0.0,0.60250,3
 OS , CT ,CT ,OS   ,9,0.0,4.91620,2
 OS , CT ,CT ,OH   ,9,0.0,0.60250,3
 OS , CT ,CT ,OH   ,9,0.0,4.91620,2
 OP , P  ,OS ,CA   ,9,180.0,0.00000,1
 OH , CE ,CT ,OS   ,9,0.0,0.60250,3
 OH , CE ,CT ,OS   ,9,0.0,4.91620,2
 OH , P  ,OS ,CT   ,9,0.0,1.04600,3
 OH , P  ,OS ,CT   ,9,0.0,5.02080,2
 OH , P  ,OS ,CI   ,9,357.2,1.48473,3
 OH , P  ,OS ,CI   ,9,352.0,5.25733,2
 OH , P  ,OS ,CI   ,9,31.8,0.77480,1
 OH , CT ,CT ,OH   ,9,0.0,0.60250,3
 OH , CT ,CT ,OH   ,9,0.0,4.91620,2
 OH , C  ,2C ,HC   ,9,0.0,0.00000,2
 O  , C  ,OS ,CT   ,9,180.0,11.29680,2
 O  , C  ,OS ,CT   ,9,180.0,5.85760,1
 O  , C  ,N  ,EP   ,9,180.0,0.00000,2
 O  , C  ,2C ,HC   ,9,180.0,0.33472,3
 O  , C  ,2C ,HC   ,9,0.0,0.00000,2
 O  , C  ,2C ,HC   ,9,0.0,3.34720,1
 O2 , CO ,2C ,HC   ,9,0.0,0.00000,2
 N  , CX ,CT ,CC   ,9,0.0,0.37238,4
 N  , CX ,CT ,CC   ,9,0.0,0.91630,3
 N  , CX ,CT ,CC   ,9,180.0,0.92466,2
 N  , CX ,CT ,CC   ,9,180.0,1.28030,1
 N  , CX ,CT ,CA   ,9,180.0,0.02929,4
 N  , CX ,CT ,CA   ,9,0.0,0.80333,3
 N  , CX ,CT ,CA   ,9,180.0,1.21336,2
 N  , CX ,CT ,CA   ,9,180.0,0.05021,1
 N  , CX ,CT ,C*   ,9,0.0,0.12970,4
 N  , CX ,CT ,C*   ,9,0.0,0.97906,3
 N  , CX ,CT ,C*   ,9,180.0,1.30959,2
 N  , CX ,CT ,C*   ,9,0.0,0.33054,1
 N  , CX ,C  ,N    ,9,0.0,0.00000,4
 N  , CX ,C  ,N    ,9,180.0,2.30120,3
 N  , CX ,C  ,N    ,9,180.0,6.61072,2
 N  , CX ,C  ,N    ,9,180.0,1.88280,1
 N  , CX ,C8 ,C8   ,9,0.0,0.65084,3
 N  , CX ,3C ,OH   ,9,0.0,0.39748,4
 N  , CX ,3C ,OH   ,9,0.0,1.31796,3
 N  , CX ,3C ,OH   ,9,0.0,0.02510,2
 N  , CX ,3C ,OH   ,9,0.0,2.82002,1
 N  , CX ,3C ,CT   ,9,180.0,0.00418,4
 N  , CX ,3C ,CT   ,9,0.0,0.61923,3
 N  , CX ,3C ,CT   ,9,180.0,0.90374,2
 N  , CX ,3C ,CT   ,9,0.0,1.41001,1
 N  , CX ,3C ,2C   ,9,180.0,0.40585,4
 N  , CX ,3C ,2C   ,9,0.0,0.47279,3
 N  , CX ,3C ,2C   ,9,180.0,0.60250,2
 N  , CX ,3C ,2C   ,9,0.0,1.29704,1
 N  , CX ,2C ,SH   ,9,0.0,0.13807,4
 N  , CX ,2C ,SH   ,9,0.0,1.05018,3
 N  , CX ,2C ,SH   ,9,180.0,2.03342,2
 N  , CX ,2C ,SH   ,9,0.0,0.64434,1
 N  , CX ,2C ,S    ,9,0.0,0.26778,4
 N  , CX ,2C ,S    ,9,0.0,1.35143,3
 N  , CX ,2C ,S    ,9,180.0,0.08786,2
 N  , CX ,2C ,S    ,9,0.0,1.96230,1
 N  , CX ,2C ,OH   ,9,0.0,0.66944,4
 N  , CX ,2C ,OH   ,9,0.0,1.67778,3
 N  , CX ,2C ,OH   ,9,180.0,1.02926,2
 N  , CX ,2C ,OH   ,9,0.0,2.78654,1
 N  , CX ,2C ,CO   ,9,0.0,0.37238,4
 N  , CX ,2C ,CO   ,9,0.0,0.24267,3
 N  , CX ,2C ,CO   ,9,180.0,2.70705,2
 N  , CX ,2C ,CO   ,9,180.0,9.01234,1
 N  , CX ,2C ,C    ,9,0.0,0.24686,4
 N  , CX ,2C ,C    ,9,0.0,0.13807,3
 N  , CX ,2C ,C    ,9,180.0,1.24265,2
 N  , CX ,2C ,C    ,9,180.0,2.87859,1
 N  , CX ,2C ,3C   ,9,0.0,0.30543,4
 N  , CX ,2C ,3C   ,9,0.0,0.60250,3
 N  , CX ,2C ,3C   ,9,180.0,1.08366,2
 N  , CX ,2C ,3C   ,9,0.0,0.41003,1
 N  , CX ,2C ,2C   ,9,0.0,0.32635,4
 N  , CX ,2C ,2C   ,9,0.0,0.60250,3
 N  , CX ,2C ,2C   ,9,180.0,0.76986,2
 N  , CX ,2C ,2C   ,9,180.0,0.41840,1
 N  , CT ,CT ,OH   ,9,0.0,0.00000,4
 N  , CT ,CT ,OH   ,9,0.0,0.65270,3
 N  , CT ,CT ,OH   ,9,0.0,6.23416,2
 N  , CT ,CT ,OH   ,9,0.0,0.00000,1
 N  , C  ,CX ,CT   ,9,0.0,0.00000,4
 N  , C  ,CX ,CT   ,9,0.0,1.67360,3
 N  , C  ,CX ,CT   ,9,0.0,0.83680,2
 N  , C  ,CX ,CT   ,9,0.0,0.83680,1
 N  , C  ,CX ,C8   ,9,0.0,0.00000,4
 N  , C  ,CX ,C8   ,9,0.0,1.67360,3
 N  , C  ,CX ,C8   ,9,0.0,0.83680,2
 N  , C  ,CX ,C8   ,9,0.0,0.83680,1
 N  , C  ,CX ,3C   ,9,0.0,0.00000,4
 N  , C  ,CX ,3C   ,9,0.0,1.67360,3
 N  , C  ,CX ,3C   ,9,0.0,0.83680,2
 N  , C  ,CX ,3C   ,9,0.0,0.83680,1
 N  , C  ,CX ,2C   ,9,0.0,0.00000,4
 N  , C  ,CX ,2C   ,9,0.0,1.67360,3
 N  , C  ,CX ,2C   ,9,0.0,0.83680,2
 N  , C  ,CX ,2C   ,9,0.0,0.83680,1
 N  , C  ,2C ,HC   ,9,0.0,0.00000,2
 NB , CC ,2C ,HC   ,9,0.0,0.00000,2
 NA , CC ,2C ,HC   ,9,0.0,0.00000,2
 N3 , CX ,CT ,CC   ,9,0.0,0.37238,4
 N3 , CX ,CT ,CC   ,9,0.0,0.91630,3
 N3 , CX ,CT ,CC   ,9,180.0,0.92466,2
 N3 , CX ,CT ,CC   ,9,180.0,1.28030,1
 N3 , CX ,CT ,CA   ,9,180.0,0.02929,4
 N3 , CX ,CT ,CA   ,9,0.0,0.80333,3
 N3 , CX ,CT ,CA   ,9,180.0,1.21336,2
 N3 , CX ,CT ,CA   ,9,180.0,0.05021,1
 N3 , CX ,CT ,C*   ,9,0.0,0.12970,4
 N3 , CX ,CT ,C*   ,9,0.0,0.97906,3
 N3 , CX ,CT ,C*   ,9,180.0,1.30959,2
 N3 , CX ,CT ,C*   ,9,0.0,0.33054,1
 N3 , CX ,C8 ,C8   ,9,0.0,0.65084,3
 N3 , CX ,3C ,OH   ,9,0.0,0.39748,4
 N3 , CX ,3C ,OH   ,9,0.0,1.31796,3
 N3 , CX ,3C ,OH   ,9,0.0,0.02510,2
 N3 , CX ,3C ,OH   ,9,0.0,2.82002,1
 N3 , CX ,3C ,CT   ,9,180.0,0.00418,4
 N3 , CX ,3C ,CT   ,9,0.0,0.61923,3
 N3 , CX ,3C ,CT   ,9,180.0,0.90374,2
 N3 , CX ,3C ,CT   ,9,0.0,1.41001,1
 N3 , CX ,3C ,2C   ,9,180.0,0.40585,4
 N3 , CX ,3C ,2C   ,9,0.0,0.47279,3
 N3 , CX ,3C ,2C   ,9,180.0,0.60250,2
 N3 , CX ,3C ,2C   ,9,0.0,1.29704,1
 N3 , CX ,2C ,SH   ,9,0.0,0.13807,4
 N3 , CX ,2C ,SH   ,9,0.0,1.05018,3
 N3 , CX ,2C ,SH   ,9,180.0,2.03342,2
 N3 , CX ,2C ,SH   ,9,0.0,0.64434,1
 N3 , CX ,2C ,S    ,9,0.0,0.26778,4
 N3 , CX ,2C ,S    ,9,0.0,1.35143,3
 N3 , CX ,2C ,S    ,9,180.0,0.08786,2
 N3 , CX ,2C ,S    ,9,0.0,1.96230,1
 N3 , CX ,2C ,OH   ,9,0.0,0.66944,4
 N3 , CX ,2C ,OH   ,9,0.0,1.67778,3
 N3 , CX ,2C ,OH   ,9,180.0,1.02926,2
 N3 , CX ,2C ,OH   ,9,0.0,2.78654,1
 N3 , CX ,2C ,CO   ,9,0.0,0.37238,4
 N3 , CX ,2C ,CO   ,9,0.0,0.24267,3
 N3 , CX ,2C ,CO   ,9,180.0,2.70705,2
 N3 , CX ,2C ,CO   ,9,180.0,9.01234,1
 N3 , CX ,2C ,C    ,9,0.0,0.24686,4
 N3 , CX ,2C ,C    ,9,0.0,0.13807,3
 N3 , CX ,2C ,C    ,9,180.0,1.24265,2
 N3 , CX ,2C ,C    ,9,180.0,2.87859,1
 N3 , CX ,2C ,3C   ,9,0.0,0.30543,4
 N3 , CX ,2C ,3C   ,9,0.0,0.60250,3
 N3 , CX ,2C ,3C   ,9,180.0,1.08366,2
 N3 , CX ,2C ,3C   ,9,0.0,0.41003,1
 N3 , CX ,2C ,2C   ,9,0.0,0.32635,4
 N3 , CX ,2C ,2C   ,9,0.0,0.60250,3
 N3 , CX ,2C ,2C   ,9,180.0,0.76986,2
 N3 , CX ,2C ,2C   ,9,180.0,0.41840,1
 HO , OH ,CE ,CT   ,9,151.6,0.22943,3
 HO , OH ,CE ,CT   ,9,200.6,1.33477,2
 HO , OH ,CE ,CT   ,9,297.8,4.51844,1
 HO , OH ,CT ,CX   ,9,0.0,0.66944,3
 HO , OH ,CT ,CX   ,9,0.0,1.04600,1
 HO , OH ,CT ,CT   ,9,0.0,0.66944,3
 HO , OH ,CT ,CT   ,9,0.0,1.04600,1
 HO , OH ,C  ,O    ,9,180.0,9.62320,2
 HO , OH ,C  ,O    ,9,0.0,7.94960,1
 HO , OH ,3C ,H1   ,9,0.0,0.69733,3
 HO , OH ,2C ,H1   ,9,0.0,0.69733,3
 H  , N  ,C  ,O    ,9,180.0,10.46000,2
 H  , N  ,C  ,O    ,9,0.0,8.36800,1
 H  , N2 ,CA ,N2   ,9,0.0,0.00000,4
 H  , N2 ,CA ,N2   ,9,180.0,10.04160,2
 HC , CT ,C2 ,C2   ,9,180.0,1.58992,3
 HC , CT ,C2 ,C2   ,9,0.0,4.81160,1
 HC , CT ,CT ,OS   ,9,0.0,0.00000,3
 HC , CT ,CT ,OS   ,9,0.0,1.04600,1
 HC , CT ,CT ,OH   ,9,0.0,0.00000,3
 HC , CT ,CT ,OH   ,9,0.0,1.04600,1
 HC , CT ,CT ,HC   ,9,0.0,0.62760,3
 HC , CT ,CT ,F    ,9,0.0,0.00000,3
 HC , CT ,CT ,F    ,9,0.0,0.79496,1
 HC , CT ,CT ,CX   ,9,0.0,0.66944,3
 HC , CT ,CT ,CT   ,9,0.0,0.66944,3
 HC , CT ,CT ,Cl   ,9,0.0,0.00000,3
 HC , CT ,CT ,Cl   ,9,0.0,1.04600,1
 HC , CT ,CT ,Br   ,9,0.0,0.00000,3
 HC , CT ,CT ,Br   ,9,0.0,2.30120,1
 HC , CT ,CS ,CS   ,9,180.0,1.58992,3
 HC , CT ,CS ,CS   ,9,0.0,4.81160,1
 HC , CT ,C  ,O    ,9,180.0,0.33472,3
 HC , CT ,C  ,O    ,9,0.0,0.00000,2
 HC , CT ,C  ,O    ,9,0.0,3.34720,1
 HC , CT ,CM ,CM   ,9,180.0,1.58992,3
 HC , CT ,CM ,CM   ,9,0.0,4.81160,1
 HC , CT ,C4 ,C4   ,9,180.0,1.58992,3
 HC , CT ,C4 ,C4   ,9,0.0,4.81160,1
 HC , CT ,3C ,OH   ,9,0.0,0.00000,3
 HC , CT ,3C ,OH   ,9,0.0,1.04600,1
 HC , CT ,3C ,HC   ,9,0.0,0.62760,3
 HC , CT ,3C ,H1   ,9,0.0,0.65084,3
 HC , CT ,3C ,CX   ,9,0.0,0.66944,3
 HC , CT ,3C ,CT   ,9,0.0,0.66944,3
 HC , CT ,3C ,2C   ,9,0.0,0.66944,3
 HC , CT ,2C ,HC   ,9,0.0,0.62760,3
 HC , CT ,2C ,3C   ,9,0.0,0.66944,3
 HC , C8 ,C8 ,HC   ,9,0.0,0.62760,3
 HA , CS ,OS ,EP   ,9,180.0,0.00000,2
 HA , CM ,OS ,EP   ,9,180.0,0.00000,2
 H4 , CS ,OS ,EP   ,9,180.0,0.00000,2
 H4 , CM ,OS ,EP   ,9,180.0,0.00000,2
 H2 , CT ,OS ,EP   ,9,0.0,0.00000,3
 H1 , CI ,CT ,CE   ,9,0.0,0.66944,3
 H1 , CX ,CT ,OH   ,9,0.0,0.00000,3
 H1 , CX ,CT ,OH   ,9,0.0,1.04600,1
 H1 , CX ,C  ,O    ,9,180.0,0.33472,3
 H1 , CX ,C  ,O    ,9,0.0,0.00000,2
 H1 , CX ,C  ,O    ,9,0.0,3.34720,1
 H1 , CX ,3C ,OH   ,9,0.0,0.00000,3
 H1 , CX ,3C ,OH   ,9,0.0,1.04600,1
 H1 , CX ,2C ,OH   ,9,0.0,0.00000,3
 H1 , CX ,2C ,OH   ,9,0.0,1.04600,1
 H1 , CT ,S  ,2C   ,9,0.0,1.39467,3
 H1 , CT ,OS ,EP   ,9,0.0,0.00000,3
 H1 , CT ,OH ,EP   ,9,0.0,0.00000,3
 H1 , CT ,NT ,EP   ,9,0.0,0.00000,3
 H1 , CT ,CT ,OS   ,9,0.0,0.00000,3
 H1 , CT ,CT ,OS   ,9,0.0,1.04600,1
 H1 , CT ,CT ,OH   ,9,0.0,0.00000,3
 H1 , CT ,CT ,OH   ,9,0.0,1.04600,1
 H1 , CT ,CT ,F    ,9,0.0,0.00000,3
 H1 , CT ,CT ,F    ,9,0.0,0.79496,1
 H1 , CT ,CT ,Cl   ,9,0.0,0.00000,3
 H1 , CT ,CT ,Cl   ,9,0.0,1.04600,1
 H1 , CT ,CT ,Br   ,9,0.0,0.00000,3
 H1 , CT ,CT ,Br   ,9,0.0,2.30120,1
 H1 , CT ,C  ,O    ,9,180.0,0.33472,3
 H1 , CT ,C  ,O    ,9,0.0,0.00000,2
 H1 , CT ,C  ,O    ,9,0.0,3.34720,1
 H1 , CT ,CI ,OS   ,9,0.0,1.04600,1
 H1 , CT ,CI ,OH   ,9,0.0,1.04600,1
 H1 , CI ,CT ,OS   ,9,0.0,1.04600,1
 H1 , CI ,CT ,OH   ,9,0.0,1.04600,1
 F  , CT ,CT ,F    ,9,0.0,0.00000,3
 F  , CT ,CT ,F    ,9,180.0,5.02080,1
 EP , S  ,S  ,EP   ,9,0.0,0.00000,3
 EP , S  ,S  ,CT   ,9,0.0,0.00000,3
 EP , S  ,S  ,2C   ,9,0.0,0.00000,3
 CT , CT ,CE ,CT   ,9,-2.2,3.76560,3
 CT , CT ,CE ,CT   ,9,38.5,5.02080,1
 CT , CE ,CT ,OS   ,9,322.4,5.02080,1
 CE , CT ,OS ,CT   ,9,180.0,0.41840,2
 CE , CT ,CI ,OS   ,9,348.1,4.02848,3
 CE , CT ,CI ,OS   ,9,295.6,0.38535,2
 CE , CT ,CI ,OS   ,9,191.0,4.92892,1
 CE , CT ,CI ,OH   ,9,348.1,4.02848,3
 CE , CT ,CI ,OH   ,9,295.6,0.38535,2
 CE , CT ,CI ,OH   ,9,191.0,4.92892,1
 C2 , C2 ,C  ,O    ,9,0.0,1.25520,3
 C2 , C2 ,C  ,O    ,9,180.0,9.10020,2
 CX , CT ,CT ,CT   ,9,0.0,0.75312,3
 CX , CT ,CT ,CT   ,9,180.0,1.04600,2
 CX , CT ,CT ,CT   ,9,180.0,0.83680,1
 CX , CT ,C  ,N    ,9,0.0,0.00000,4
 CX , CT ,C  ,N    ,9,0.0,1.67360,3
 CX , CT ,C  ,N    ,9,0.0,0.83680,2
 CX , CT ,C  ,N    ,9,0.0,0.83680,1
 CX , CT ,C* ,CW   ,9,0.0,0.00000,4
 CX , CT ,C* ,CW   ,9,0.0,0.00000,3
 CX , CT ,C* ,CW   ,9,0.0,0.00000,2
 CX , CT ,C* ,CW   ,9,0.0,0.00000,1
 CX , CT ,CC ,NB   ,9,180.0,0.19665,4
 CX , CT ,CC ,NB   ,9,0.0,3.09616,3
 CX , CT ,CC ,NB   ,9,0.0,0.85354,2
 CX , CT ,CC ,NB   ,9,0.0,2.88696,1
 CX , CT ,CC ,NA   ,9,180.0,0.15481,4
 CX , CT ,CC ,NA   ,9,0.0,2.87022,3
 CX , CT ,CC ,NA   ,9,180.0,1.64013,2
 CX , CT ,CC ,NA   ,9,180.0,0.66944,1
 CX , CT ,CC ,CV   ,9,180.0,0.04184,4
 CX , CT ,CC ,CV   ,9,180.0,0.51045,3
 CX , CT ,CC ,CV   ,9,0.0,3.13800,2
 CX , CT ,CC ,CV   ,9,180.0,2.82002,1
 CX , CT ,C* ,CB   ,9,180.0,0.39748,4
 CX , CT ,C* ,CB   ,9,0.0,3.42670,3
 CX , CT ,C* ,CB   ,9,0.0,1.70707,2
 CX , CT ,C* ,CB   ,9,0.0,1.52716,1
 CX , CT ,CA ,CA   ,9,180.0,0.20083,4
 CX , CT ,CA ,CA   ,9,0.0,0.00000,3
 CX , CT ,CA ,CA   ,9,180.0,0.28870,2
 CX , CT ,CA ,CA   ,9,0.0,0.00000,1
 CX , C8 ,C8 ,HC   ,9,0.0,0.66944,3
 CX , C8 ,C8 ,C8   ,9,0.0,0.75312,3
 CX , C8 ,C8 ,C8   ,9,180.0,1.04600,2
 CX , C8 ,C8 ,C8   ,9,180.0,0.83680,1
 CW , CC ,2C ,HC   ,9,0.0,0.00000,2
 CW , C* ,2C ,HC   ,9,0.0,0.00000,2
 CV , CC ,2C ,HC   ,9,0.0,0.00000,2
 CT , S  ,S  ,CT   ,9,0.0,2.51040,3
 CT , S  ,S  ,CT   ,9,0.0,14.64400,2
 CT , OS ,CT ,OS   ,9,0.0,0.41840,3
 CT , OS ,CT ,OS   ,9,180.0,3.55640,2
 CT , OS ,CT ,OS   ,9,180.0,5.64840,1
 CT , OS ,CT ,N*   ,9,0.0,1.60247,3
 CT , OS ,CT ,N*   ,9,0.0,2.71960,2
 CT , OS ,CT ,CI   ,9,0.0,1.60247,3
 CT , OS ,CT ,CI   ,9,180.0,0.41840,2
 CT , CZ ,CZ ,HZ   ,9,0.0,0.00000,1
 CT , CX ,N  ,C    ,9,0.0,0.00000,4
 CT , CX ,N  ,C    ,9,0.0,3.34720,3
 CT , CX ,N  ,C    ,9,0.0,7.53120,2
 CT , CX ,N  ,C    ,9,0.0,8.36800,1
 CT , CT ,OS ,EP   ,9,0.0,0.00000,3
 CT , CT ,OS ,CT   ,9,0.0,1.60247,3
 CT , CT ,OS ,CT   ,9,180.0,0.41840,2
 CT , CT ,OS ,C    ,9,0.0,1.60247,3
 CT , CT ,OS ,C    ,9,180.0,3.34720,1
 CT , CT ,OH ,EP   ,9,0.0,0.00000,3
 CT , CT ,NT ,EP   ,9,0.0,0.00000,3
 CT , CT ,NT ,CT   ,9,0.0,1.25520,3
 CT , CT ,NT ,CT   ,9,180.0,2.00832,2
